backend,benchmark,qubits,layers,run_index,warmup,wall_ms,cpu_s,state_size
lightning.qubit,tfim_trotter,20,,3,False,529.2312060000768,0.5233632790000229,1048576
lightning.qubit,tfim_trotter,24,,0,True,15338.31165599986,15.281936130000076,16777216
lightning.qubit,tfim_trotter,24,,1,False,15152.141632999701,15.127528827000106,16777216
lightning.qubit,tfim_trotter,24,,2,False,14838.724504999846,14.824415741999928,16777216
lightning.qubit,tfim_trotter,24,,3,False,15202.479096999923,15.193437374000041,16777216
lightning.qubit,tfim_trotter,26,,0,True,66399.92888100006,66.39000578199989,67108864
lightning.qubit,tfim_trotter,26,,1,False,64381.394965000254,64.35330785699989,67108864
lightning.qubit,tfim_trotter,26,,2,False,63509.95338499979,63.48194752099994,67108864
lightning.qubit,tfim_trotter,26,,3,False,62687.943689999884,62.664031080000086,67108864
lightning.qubit,tfim_trotter,28,,0,True,270171.29219900013,270.14658236000014,268435456
lightning.qubit,tfim_trotter,28,,1,False,269825.31105599995,269.7577793979999,268435456
lightning.qubit,tfim_trotter,28,,2,False,269813.5933349995,269.733464209,268435456
lightning.qubit,tfim_trotter,28,,3,False,275324.7259969994,275.27203626799974,268435456
