workload,qubits,backend,mean_ms,ci95_ms,backend_over_mettleq,result_contract
ghz,20,PennyLane Lightning CPU,15.598309666681113,0.5731536550672968,9.061981159096922,synchronized full state
ghz,24,MettleQ Metal,23.731499667822693,0.7207042779585112,1.0,synchronized full state
ghz,24,CUDA-Q NVIDIA GPU,70.40047333309,6.451426118439495,2.9665412771425195,synchronized full state
ghz,24,PennyLane Lightning GPU,92.12844133314017,13.541646798124995,3.8821162852196913,synchronized full state
ghz,24,Qiskit Aer statevector CPU,212.79361400002017,9.80204750902273,8.96671584091017,synchronized full state
ghz,24,PennyLane Lightning CPU,328.1758676666868,12.409192887557898,13.82870329563105,synchronized full state
ghz,26,MettleQ Metal,85.64129167158778,3.3019767099252264,1.0,synchronized full state
ghz,26,CUDA-Q NVIDIA GPU,87.02535133367444,0.11497708547027896,1.0161611254929943,synchronized full state
ghz,26,PennyLane Lightning GPU,305.39731633325573,35.007206813553346,3.566005490720242,synchronized full state
ghz,26,Qiskit Aer statevector CPU,728.2533560000198,44.12609333945675,8.50353073599921,synchronized full state
ghz,26,PennyLane Lightning CPU,1317.653326333281,6.07655986853396,15.385724579985798,synchronized full state
ghz,28,MettleQ Metal,341.9422916582941,7.89344769067549,1.0,synchronized full state
ghz,28,CUDA-Q NVIDIA GPU,164.8017733332381,5.338064698433923,0.4819578547421269,synchronized full state
ghz,28,PennyLane Lightning GPU,1357.4194709999574,287.4646266282182,3.9697326248150624,synchronized full state
ghz,28,Qiskit Aer statevector CPU,3111.0540009999945,532.0244929957047,9.098184333714702,synchronized full state
ghz,28,PennyLane Lightning CPU,5614.098859000023,104.7954575424698,16.418264122211127,synchronized full state
grover_proxy,15,MettleQ Metal,3.11777832879064,1.632853292881851,1.0,synchronized full state
grover_proxy,15,CUDA-Q NVIDIA GPU,63.47346866702234,12.256243504675167,20.35855727165926,synchronized full state
grover_proxy,15,PennyLane Lightning GPU,8.468067666702458,0.8869547510382819,2.716058286923545,synchronized full state
grover_proxy,15,Qiskit Aer statevector CPU,3.051420999971318,1.6226992647004301,0.978716469927783,synchronized full state
grover_proxy,15,PennyLane Lightning CPU,3.850660333379589,0.9173209602183685,1.2350654624227975,synchronized full state
grover_proxy,20,MettleQ Metal,10.338958323700354,0.8321560056919232,1.0,synchronized full state
grover_proxy,20,CUDA-Q NVIDIA GPU,64.74777166658896,5.062215952035389,6.262504368371946,synchronized full state
grover_proxy,20,PennyLane Lightning GPU,22.277566333589977,1.2276149922283215,2.1547205855857197,synchronized full state
grover_proxy,20,Qiskit Aer statevector CPU,12.286104333384174,1.9170469928132057,1.1883309661109969,synchronized full state
grover_proxy,20,PennyLane Lightning CPU,85.86343466671072,4.58745156383244,8.30484387096164,synchronized full state
grover_proxy,24,MettleQ Metal,64.06619433740464,2.824887257853837,1.0,synchronized full state
grover_proxy,24,CUDA-Q NVIDIA GPU,65.40661399897847,7.056149596971734,1.0209224174377287,synchronized full state
grover_proxy,24,PennyLane Lightning GPU,285.53767233339994,63.71105827019216,4.456916401645705,synchronized full state
grover_proxy,24,Qiskit Aer statevector CPU,178.32766700003808,13.893884219214092,2.7834908697850125,synchronized full state
grover_proxy,24,PennyLane Lightning CPU,2240.165412000048,35.736793881181946,34.96641926633282,synchronized full state
grover_proxy,26,MettleQ Metal,246.97069433750585,0.585786429541948,1.0,synchronized full state
grover_proxy,26,CUDA-Q NVIDIA GPU,84.8353730004116,8.966525414519097,0.3435038040767584,synchronized full state
grover_proxy,26,PennyLane Lightning GPU,1022.8857246668971,21.73971118693463,4.141729152970025,synchronized full state
grover_proxy,26,Qiskit Aer statevector CPU,700.7932609999822,73.8264989769831,2.837556346026587,synchronized full state
grover_proxy,26,PennyLane Lightning CPU,9738.488752333069,141.0913255701706,39.431758405410726,synchronized full state
grover_proxy,28,MettleQ Metal,982.7957773231901,13.17023184841062,1.0,synchronized full state
grover_proxy,28,CUDA-Q NVIDIA GPU,164.13977933310284,10.054076547697782,0.1670131100686708,synchronized full state
grover_proxy,28,PennyLane Lightning GPU,4541.362557666919,165.27048301377954,4.620860877156071,synchronized full state
grover_proxy,28,Qiskit Aer statevector CPU,2999.136267999991,280.9596623020867,3.0516373159118,synchronized full state
grover_proxy,28,PennyLane Lightning CPU,41908.73672066679,444.00327666627965,42.64236547170796,synchronized full state
phase_estimation,15,MettleQ Metal,3.186708335609486,1.690843359443669,1.0,synchronized full state
